timeStep    from platoon        to platoon          comment             
23.75      CACC8                CACC7                Merge_Request       
23.76      CACC8                -                    Merge_Reject        
23.85      CACC8                CACC7                Merge_Request       
23.86      CACC8                -                    Merge_Reject        
23.95      CACC8                CACC7                Merge_Request       
23.96      CACC8                -                    Merge_Reject        
24.05      CACC8                CACC7                Merge_Request       
24.06      CACC8                -                    Merge_Reject        
24.15      CACC8                CACC7                Merge_Request       
24.16      CACC8                -                    Merge_Reject        
24.25      CACC8                CACC7                Merge_Request       
24.26      CACC8                -                    Merge_Reject        
24.35      CACC8                CACC7                Merge_Request       
24.36      CACC8                -                    Merge_Reject        
24.45      CACC8                CACC7                Merge_Request       
24.46      CACC8                -                    Merge_Reject        
24.55      CACC8                CACC7                Merge_Request       
24.56      CACC8                -                    Merge_Reject        
24.65      CACC8                CACC7                Merge_Request       
24.66      CACC8                -                    Merge_Reject        
24.75      CACC8                CACC7                Merge_Request       
24.76      CACC8                -                    Merge_Reject        
24.85      CACC8                CACC7                Merge_Request       
24.86      CACC8                -                    Merge_Reject        
24.95      CACC8                CACC7                Merge_Request       
24.96      CACC8                -                    Merge_Reject        
25.05      CACC8                CACC7                Merge_Request       
25.06      CACC8                -                    Merge_Reject        
25.15      CACC8                CACC7                Merge_Request       
25.16      CACC8                -                    Merge_Reject        
25.25      CACC8                CACC7                Merge_Request       
25.26      CACC8                -                    Merge_Reject        
25.35      CACC8                CACC7                Merge_Request       
25.36      CACC8                -                    Merge_Reject        
25.45      CACC8                CACC7                Merge_Request       
25.46      CACC8                -                    Merge_Reject        
25.55      CACC8                CACC7                Merge_Request       
25.56      CACC8                -                    Merge_Reject        
25.65      CACC8                CACC7                Merge_Request       
25.66      CACC8                -                    Merge_Reject        
25.75      CACC8                CACC7                Merge_Request       
25.76      CACC8                -                    Merge_Reject        

25.83      CACC9                CACC8                Merge_Request       
25.84      CACC9                -                    Merge_Start         
28.14      CACC9                -                    Merge_End           

28.15      CACC8                CACC7                Merge_Request       
28.16      CACC8                -                    Merge_Reject        

28.21      CACC10               CACC8                Merge_Request       
28.22      CACC10               -                    Merge_Start         

29.03      CACC7                -                    Merge_End           

30.84      CACC11               CACC10               Merge_Request       
30.84      CACC11               -                    Merge_Reject        
30.94      CACC11               CACC10               Merge_Request       
30.94      CACC11               -                    Merge_Reject        
31.04      CACC11               CACC10               Merge_Request       
31.04      CACC11               -                    Merge_Reject        
31.14      CACC11               CACC10               Merge_Request       
31.14      CACC11               -                    Merge_Reject        
31.24      CACC11               CACC10               Merge_Request       
31.24      CACC11               -                    Merge_Reject        
31.34      CACC11               CACC10               Merge_Request       
31.34      CACC11               -                    Merge_Reject        
31.44      CACC11               CACC10               Merge_Request       
31.44      CACC11               -                    Merge_Reject        
31.54      CACC11               CACC10               Merge_Request       
31.54      CACC11               -                    Merge_Reject        
31.64      CACC11               CACC10               Merge_Request       
31.64      CACC11               -                    Merge_Reject        
31.74      CACC11               CACC10               Merge_Request       
31.74      CACC11               -                    Merge_Reject        
31.84      CACC11               CACC10               Merge_Request       
31.84      CACC11               -                    Merge_Reject        
31.94      CACC11               CACC10               Merge_Request       
31.94      CACC11               -                    Merge_Reject        
32.04      CACC11               CACC10               Merge_Request       
32.04      CACC11               -                    Merge_Reject        
32.14      CACC11               CACC10               Merge_Request       
32.14      CACC11               -                    Merge_Reject        
32.24      CACC11               CACC10               Merge_Request       
32.24      CACC11               -                    Merge_Reject        
32.34      CACC11               CACC10               Merge_Request       
32.34      CACC11               -                    Merge_Reject        
32.44      CACC11               CACC10               Merge_Request       
32.44      CACC11               -                    Merge_Reject        

32.52      CACC10               -                    Merge_End           

32.54      CACC11               CACC8                Merge_Request       
32.54      CACC11               -                    Merge_Start         
39.14      CACC11               -                    Merge_End           
