loopDetector        vehicleName         vehicleEntryTime    vehicleLeaveTime    vehicleEntrySpeed     vehicleLeaveSpeed     
detector1            CACC115              577.83               -1.00                272.85               -1.00                
detector1            CACC116              582.83               -1.00                272.85               -1.00                
detector1            CACC117              587.83               -1.00                272.85               -1.00                
detector1            CACC118              592.83               -1.00                272.85               -1.00                
detector1            CACC119              597.83               -1.00                272.85               -1.00                
detector1            CACC120              602.83               -1.00                272.85               -1.00                
detector1            CACC121              607.83               -1.00                272.85               -1.00                
detector1            CACC122              612.83               -1.00                272.85               -1.00                
detector1            CACC123              617.83               -1.00                272.85               -1.00                
detector1            CACC124              622.83               -1.00                272.85               -1.00                
detector1            CACC125              627.83               -1.00                272.85               -1.00                
detector1            CACC126              632.83               -1.00                272.85               -1.00                
detector1            CACC127              637.83               -1.00                272.85               -1.00                
detector1            CACC128              642.83               -1.00                272.85               -1.00                
detector1            CACC129              647.83               -1.00                272.85               -1.00                
detector1            CACC130              652.83               -1.00                272.85               -1.00                
detector1            CACC131              657.83               -1.00                272.85               -1.00                
detector1            CACC132              662.83               -1.00                272.85               -1.00                
detector1            CACC133              667.83               -1.00                272.85               -1.00                
detector1            CACC134              672.83               -1.00                272.85               -1.00                
