index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      
27         7.60       Veh5            WC_3         10.53      7.80       C               1               

28         7.70       Veh1            NC_3         11.34      8.10       C               1               
28         7.70       Veh5            WC_3         11.34      8.10       C               1               

29         7.80       Veh1            NC_3         12.18      8.40       C               1               
29         7.80       Veh5            WC_3         12.18      8.40       C               1               

30         7.90       Veh1            NC_3         13.05      8.70       C               1               
30         7.90       Veh5            WC_3         13.05      8.70       C               1               

31         8.00       Veh1            NC_3         13.95      9.00       C               1               
31         8.00       Veh5            WC_3         13.95      9.00       C               1               

32         8.10       Veh1            NC_3         14.88      9.30       C               1               
32         8.10       Veh5            WC_3         14.88      9.30       C               1               

33         8.20       Veh1            NC_3         15.84      9.60       C               1               
33         8.20       Veh5            WC_3         15.84      9.60       C               1               

34         8.30       Veh1            NC_3         16.83      9.90       C               1               
34         8.30       Veh5            WC_3         16.83      9.90       C               1               

35         8.40       Veh1            NC_3         17.85      10.20      C               1               
35         8.40       Veh5            WC_3         17.85      10.20      C               1               

36         8.50       Veh1            NC_3         18.90      10.50      C               1               
36         8.50       Veh5            WC_3         18.90      10.50      C               1               

37         8.60       Veh1            NC_3         19.98      10.80      C               1               
37         8.60       Veh5            WC_3         19.98      10.80      C               1               

38         8.70       Veh1            NC_3         21.09      11.10      C               1               
38         8.70       Veh5            WC_3         21.09      11.10      C               1               

39         8.80       Veh1            NC_3         22.23      11.40      C               1               
39         8.80       Veh5            WC_3         22.23      11.40      C               1               

40         8.90       Veh1            NC_3         23.40      11.70      C               1               
40         8.90       Veh5            WC_3         23.40      11.70      C               1               

41         9.00       Veh1            NC_3         24.60      12.00      C               1               
41         9.00       Veh5            WC_3         24.60      12.00      C               1               

42         9.10       Veh1            NC_3         25.83      12.30      C               1               
42         9.10       Veh5            WC_3         25.83      12.30      C               1               

43         9.20       Veh1            NC_3         27.09      12.60      C               1               
43         9.20       Veh5            WC_3         27.09      12.60      C               1               

44         9.30       Veh1            NC_3         28.38      12.90      C               1               
44         9.30       Veh5            WC_3         28.38      12.90      C               1               

45         9.40       Veh1            NC_3         29.70      13.20      C               1               
45         9.40       Veh5            WC_3         29.70      13.20      C               1               

46         9.50       Veh1            NC_3         31.05      13.50      C               1               
46         9.50       Veh5            WC_3         31.05      13.50      C               1               

47         9.60       Veh1            NC_3         32.43      13.80      C               1               
47         9.60       Veh5            WC_3         32.43      13.80      C               1               

48         9.70       Veh1            NC_3         33.82      13.89      C               1               
48         9.70       Veh5            WC_3         33.82      13.89      C               1               

49         9.80       Veh1            NC_3         35.21      13.89      C               1               
49         9.80       Veh5            WC_3         35.21      13.89      C               1               

50         9.90       Veh1            NC_3         36.60      13.89      C               1               
50         9.90       Veh5            WC_3         36.60      13.89      C               1               

51         10.00      Veh1            NC_3         37.99      13.89      C               1               
51         10.00      Veh2            NC_3         0.00       0.00       C               0               
51         10.00      Veh5            WC_3         37.99      13.89      C               1               
51         10.00      Veh6            WC_3         0.00       0.00       C               0               

52         10.10      Veh1            NC_3         39.38      13.89      C               1               
52         10.10      Veh2            NC_3         0.03       0.30       C               1               
52         10.10      Veh5            WC_3         39.38      13.89      C               1               
52         10.10      Veh6            WC_3         0.03       0.30       C               0               

53         10.20      Veh1            NC_3         40.76      13.89      C               1               
53         10.20      Veh2            NC_3         0.09       0.60       C               1               
53         10.20      Veh5            WC_3         40.76      13.89      C               1               
53         10.20      Veh6            WC_3         0.09       0.60       C               0               

54         10.30      Veh1            NC_3         42.15      13.89      C               1               
54         10.30      Veh2            NC_3         0.18       0.90       C               1               
54         10.30      Veh5            WC_3         42.15      13.89      C               1               
54         10.30      Veh6            WC_3         0.18       0.90       C               0               

55         10.40      Veh1            NC_3         43.54      13.89      C               1               
55         10.40      Veh2            NC_3         0.30       1.20       C               1               
55         10.40      Veh5            WC_3         43.54      13.89      C               1               
55         10.40      Veh6            WC_3         0.30       1.20       C               0               

56         10.50      Veh1            NC_3         44.93      13.89      C               1               
56         10.50      Veh2            NC_3         0.45       1.50       C               1               
56         10.50      Veh5            WC_3         44.93      13.89      C               1               
56         10.50      Veh6            WC_3         0.45       1.50       C               0               

57         10.60      Veh1            NC_3         46.32      13.89      C               1               
57         10.60      Veh2            NC_3         0.63       1.80       C               1               
57         10.60      Veh5            WC_3         46.32      13.89      C               1               
57         10.60      Veh6            WC_3         0.63       1.80       C               0               

58         10.70      Veh1            NC_3         47.71      13.89      C               1               
58         10.70      Veh2            NC_3         0.84       2.10       C               1               
58         10.70      Veh5            WC_3         47.71      13.89      C               1               
58         10.70      Veh6            WC_3         0.84       2.10       C               0               

59         10.80      Veh1            NC_3         49.10      13.89      C               1               
59         10.80      Veh2            NC_3         1.08       2.40       C               1               
59         10.80      Veh5            WC_3         49.10      13.89      C               1               
59         10.80      Veh6            WC_3         1.08       2.40       C               0               

60         10.90      Veh1            NC_3         50.49      13.89      C               1               
60         10.90      Veh2            NC_3         1.35       2.70       C               1               
60         10.90      Veh5            WC_3         50.49      13.89      C               1               
60         10.90      Veh6            WC_3         1.35       2.70       C               0               

61         11.00      Veh1            NC_3         51.88      13.89      C               1               
61         11.00      Veh2            NC_3         1.65       3.00       C               1               
61         11.00      Veh5            WC_3         51.88      13.89      C               1               
61         11.00      Veh6            WC_3         1.65       3.00       C               0               

62         11.10      Veh1            NC_3         53.27      13.89      C               1               
62         11.10      Veh2            NC_3         1.98       3.30       C               1               
62         11.10      Veh5            WC_3         53.27      13.89      C               1               
62         11.10      Veh6            WC_3         1.98       3.30       C               0               

63         11.20      Veh1            NC_3         54.65      13.89      C               1               
63         11.20      Veh2            NC_3         2.34       3.60       C               1               
63         11.20      Veh5            WC_3         54.65      13.89      C               1               
63         11.20      Veh6            WC_3         2.34       3.60       C               0               

64         11.30      Veh1            NC_3         56.04      13.89      C               1               
64         11.30      Veh2            NC_3         2.73       3.90       C               1               
64         11.30      Veh5            WC_3         56.04      13.89      C               1               
64         11.30      Veh6            WC_3         2.73       3.90       C               0               

65         11.40      Veh1            NC_3         57.43      13.89      C               1               
65         11.40      Veh2            NC_3         3.15       4.20       C               1               
65         11.40      Veh5            WC_3         57.43      13.89      C               1               
65         11.40      Veh6            WC_3         3.15       4.20       C               0               

66         11.50      Veh1            NC_3         58.82      13.89      C               1               
66         11.50      Veh2            NC_3         3.60       4.50       C               1               
66         11.50      Veh5            WC_3         58.82      13.89      C               1               
66         11.50      Veh6            WC_3         3.60       4.50       C               0               

67         11.60      Veh1            NC_3         60.21      13.89      C               1               
67         11.60      Veh2            NC_3         4.08       4.80       C               1               
67         11.60      Veh5            WC_3         60.21      13.89      C               1               
67         11.60      Veh6            WC_3         4.08       4.80       C               0               

68         11.70      Veh1            NC_3         61.60      13.89      C               1               
68         11.70      Veh2            NC_3         4.59       5.10       C               1               
68         11.70      Veh5            WC_3         61.60      13.89      C               1               
68         11.70      Veh6            WC_3         4.59       5.10       C               0               

69         11.80      Veh1            NC_3         62.99      13.89      C               1               
69         11.80      Veh2            NC_3         5.13       5.40       C               1               
69         11.80      Veh5            WC_3         62.99      13.89      C               1               
69         11.80      Veh6            WC_3         5.13       5.40       C               0               

70         11.90      Veh1            NC_3         64.38      13.89      C               1               
70         11.90      Veh2            NC_3         5.70       5.70       C               1               
70         11.90      Veh5            WC_3         64.38      13.89      C               1               
70         11.90      Veh6            WC_3         5.70       5.70       C               0               

71         12.00      Veh1            NC_3         65.77      13.89      C               1               
71         12.00      Veh2            NC_3         6.30       6.00       C               1               
71         12.00      Veh5            WC_3         65.77      13.89      C               1               
71         12.00      Veh6            WC_3         6.30       6.00       C               0               

72         12.10      Veh1            NC_3         67.16      13.89      C               1               
72         12.10      Veh2            NC_3         6.93       6.30       C               1               
72         12.10      Veh5            WC_3         67.16      13.89      C               1               
72         12.10      Veh6            WC_3         6.93       6.30       C               0               

73         12.20      Veh1            NC_3         68.54      13.89      C               1               
73         12.20      Veh2            NC_3         7.59       6.60       C               1               
73         12.20      Veh5            WC_3         68.54      13.89      C               1               
73         12.20      Veh6            WC_3         7.59       6.60       C               0               

74         12.30      Veh1            NC_3         69.93      13.89      C               1               
74         12.30      Veh2            NC_3         8.28       6.90       C               1               
74         12.30      Veh5            WC_3         69.93      13.89      C               1               
74         12.30      Veh6            WC_3         8.28       6.90       C               0               

75         12.40      Veh1            NC_3         71.32      13.89      C               1               
75         12.40      Veh2            NC_3         9.00       7.20       C               1               
75         12.40      Veh5            WC_3         71.32      13.89      C               1               
75         12.40      Veh6            WC_3         9.00       7.20       C               0               

76         12.50      Veh1            NC_3         72.71      13.89      C               1               
76         12.50      Veh2            NC_3         9.75       7.50       C               1               
76         12.50      Veh5            WC_3         72.71      13.89      C               1               
76         12.50      Veh6            WC_3         9.75       7.50       C               0               

77         12.60      Veh1            NC_3         74.10      13.89      C               1               
77         12.60      Veh2            NC_3         10.53      7.80       C               1               
77         12.60      Veh5            WC_3         74.10      13.89      C               1               
77         12.60      Veh6            WC_3         10.53      7.80       C               0               

78         12.70      Veh1            NC_3         75.49      13.89      C               1               
78         12.70      Veh2            NC_3         11.34      8.10       C               1               
78         12.70      Veh5            WC_3         75.49      13.89      C               1               
78         12.70      Veh6            WC_3         11.34      8.10       C               0               

79         12.80      Veh1            NC_3         76.88      13.89      C               1               
79         12.80      Veh2            NC_3         12.18      8.40       C               1               
79         12.80      Veh5            WC_3         76.88      13.89      C               1               
79         12.80      Veh6            WC_3         12.18      8.40       C               0               

80         12.90      Veh1            NC_3         78.27      13.89      C               0               
80         12.90      Veh2            NC_3         13.05      8.70       C               0               
80         12.90      Veh5            WC_3         78.27      13.89      C               1               
80         12.90      Veh6            WC_3         13.05      8.70       C               0               

81         13.00      Veh1            NC_3         79.66      13.89      C               0               
81         13.00      Veh2            NC_3         13.95      9.00       C               0               
81         13.00      Veh5            WC_3         79.66      13.89      C               1               
81         13.00      Veh6            WC_3         13.95      9.00       C               0               

82         13.10      Veh1            NC_3         81.05      13.89      C               0               
82         13.10      Veh2            NC_3         14.88      9.30       C               0               
82         13.10      Veh5            WC_3         81.05      13.89      C               1               
82         13.10      Veh6            WC_3         14.88      9.30       C               0               

83         13.20      Veh1            NC_3         82.43      13.89      C               0               
83         13.20      Veh2            NC_3         15.84      9.60       C               0               
83         13.20      Veh5            WC_3         82.43      13.89      C               1               
83         13.20      Veh6            WC_3         15.84      9.60       C               0               

84         13.30      Veh1            NC_3         83.82      13.89      C               0               
84         13.30      Veh2            NC_3         16.83      9.90       C               0               
84         13.30      Veh5            WC_3         83.82      13.89      C               1               
84         13.30      Veh6            WC_3         16.83      9.90       C               0               

85         13.40      Veh1            NC_3         85.21      13.89      C               0               
85         13.40      Veh2            NC_3         17.85      10.20      C               0               
85         13.40      Veh5            WC_3         85.21      13.89      C               1               
85         13.40      Veh6            WC_3         17.85      10.20      C               0               

86         13.50      Veh1            NC_3         86.60      13.89      C               0               
86         13.50      Veh2            NC_3         18.90      10.50      C               0               
86         13.50      Veh5            WC_3         86.60      13.89      C               1               
86         13.50      Veh6            WC_3         18.90      10.50      C               0               

87         13.60      Veh1            NC_3         87.99      13.89      C               0               
87         13.60      Veh2            NC_3         19.98      10.80      C               0               
87         13.60      Veh5            WC_3         87.99      13.89      C               1               
87         13.60      Veh6            WC_3         19.98      10.80      C               0               

88         13.70      Veh1            NC_3         89.38      13.89      C               0               
88         13.70      Veh2            NC_3         21.09      11.10      C               0               
88         13.70      Veh5            WC_3         89.38      13.89      C               1               
88         13.70      Veh6            WC_3         21.09      11.10      C               0               

89         13.80      Veh1            NC_3         90.77      13.89      C               0               
89         13.80      Veh2            NC_3         22.23      11.40      C               0               
89         13.80      Veh5            WC_3         90.77      13.89      C               1               
89         13.80      Veh6            WC_3         22.23      11.40      C               0               

90         13.90      Veh1            NC_3         92.16      13.89      C               0               
90         13.90      Veh2            NC_3         23.40      11.70      C               0               
90         13.90      Veh5            WC_3         92.16      13.89      C               1               
90         13.90      Veh6            WC_3         23.40      11.70      C               0               

91         14.00      Veh1            NC_3         93.55      13.89      C               0               
91         14.00      Veh2            NC_3         24.60      12.00      C               0               
91         14.00      Veh5            WC_3         93.55      13.89      C               1               
91         14.00      Veh6            WC_3         24.60      12.00      C               0               

92         14.10      Veh1            NC_3         94.93      13.89      C               0               
92         14.10      Veh2            NC_3         25.83      12.30      C               0               
92         14.10      Veh5            WC_3         94.93      13.89      C               1               
92         14.10      Veh6            WC_3         25.83      12.30      C               0               

93         14.20      Veh1            NC_3         96.32      13.89      C               0               
93         14.20      Veh2            NC_3         27.09      12.60      C               0               
93         14.20      Veh5            WC_3         96.32      13.89      C               1               
93         14.20      Veh6            WC_4         27.09      12.60      C               0               

94         14.30      Veh1            NC_3         97.71      13.89      C               0               
94         14.30      Veh2            NC_3         28.38      12.90      C               0               
94         14.30      Veh5            WC_3         97.71      13.89      C               1               
94         14.30      Veh6            WC_4         28.38      12.90      C               1               

95         14.40      Veh1            NC_3         99.10      13.89      C               0               
95         14.40      Veh2            NC_3         29.70      13.20      C               0               
95         14.40      Veh5            WC_3         99.10      13.89      C               1               
95         14.40      Veh6            WC_4         29.70      13.20      C               1               

96         14.50      Veh1            NC_3         100.49     13.89      C               0               
96         14.50      Veh2            NC_3         31.05      13.50      C               0               
96         14.50      Veh5            WC_3         100.49     13.89      C               1               
96         14.50      Veh6            WC_4         31.05      13.50      C               1               

97         14.60      Veh1            NC_3         101.88     13.89      C               0               
97         14.60      Veh2            NC_3         32.43      13.80      C               0               
97         14.60      Veh5            WC_3         101.88     13.89      C               1               
97         14.60      Veh6            WC_4         32.43      13.80      C               1               

98         14.70      Veh1            NC_3         103.27     13.89      C               0               
98         14.70      Veh2            NC_3         33.82      13.89      C               0               
98         14.70      Veh5            WC_3         103.27     13.89      C               1               
98         14.70      Veh6            WC_4         33.82      13.89      C               1               

99         14.80      Veh1            NC_3         104.66     13.89      C               0               
99         14.80      Veh2            NC_3         35.21      13.89      C               0               
99         14.80      Veh5            WC_3         104.66     13.89      C               1               
99         14.80      Veh6            WC_4         35.21      13.89      C               1               

100        14.90      Veh1            NC_3         106.05     13.89      C               0               
100        14.90      Veh2            NC_3         36.60      13.89      C               0               
100        14.90      Veh5            WC_3         106.05     13.89      C               1               
100        14.90      Veh6            WC_4         36.60      13.89      C               1               

101        15.00      Bike1           NC_2         0.00       0.00       C               0               
101        15.00      Veh1            NC_3         107.44     13.89      C               0               
101        15.00      Veh2            NC_3         37.99      13.89      C               0               
101        15.00      Bike3           WC_2         0.00       0.00       C               0               
101        15.00      Veh5            WC_3         107.44     13.89      C               1               
101        15.00      Veh6            WC_4         37.99      13.89      C               1               

102        15.10      Bike1           NC_2         0.01       0.12       C               0               
102        15.10      Veh1            NC_3         108.82     13.89      C               0               
102        15.10      Veh2            NC_3         39.38      13.89      C               0               
102        15.10      Bike3           WC_2         0.01       0.11       C               1               
102        15.10      Veh5            WC_3         108.82     13.89      C               1               
102        15.10      Veh6            WC_4         39.38      13.89      C               1               

103        15.20      Bike1           NC_2         0.03       0.23       C               0               
103        15.20      Veh1            NC_3         110.21     13.89      C               0               
103        15.20      Veh2            NC_3         40.76      13.89      C               0               
103        15.20      Bike3           WC_2         0.03       0.23       C               1               
103        15.20      Veh5            WC_3         110.21     13.89      C               1               
103        15.20      Veh6            WC_4         40.76      13.89      C               1               

104        15.30      Bike1           NC_2         0.07       0.34       C               0               
104        15.30      Veh1            NC_3         111.60     13.89      C               0               
104        15.30      Veh2            NC_3         42.15      13.89      C               0               
104        15.30      Bike3           WC_2         0.07       0.34       C               1               
104        15.30      Veh5            WC_3         111.60     13.89      C               1               
104        15.30      Veh6            WC_4         42.15      13.89      C               1               

105        15.40      Bike1           NC_2         0.11       0.44       C               0               
105        15.40      Veh1            NC_3         112.99     13.89      C               0               
105        15.40      Veh2            NC_3         43.54      13.89      C               0               
105        15.40      Bike3           WC_2         0.11       0.45       C               1               
105        15.40      Veh5            WC_3         112.99     13.89      C               1               
105        15.40      Veh6            WC_4         43.54      13.89      C               1               

106        15.50      Bike1           NC_2         0.17       0.55       C               0               
106        15.50      Veh1            NC_3         114.38     13.89      C               0               
106        15.50      Veh2            NC_3         44.93      13.89      C               0               
106        15.50      Bike3           WC_2         0.17       0.55       C               1               
106        15.50      Veh5            WC_3         114.38     13.89      C               1               
106        15.50      Veh6            WC_4         44.93      13.89      C               1               

107        15.60      Bike1           NC_2         0.23       0.65       C               0               
107        15.60      Veh1            NC_3         115.77     13.89      C               0               
107        15.60      Veh2            NC_3         46.32      13.89      C               0               
107        15.60      Bike3           WC_2         0.23       0.64       C               1               
107        15.60      Veh5            WC_3         115.77     13.89      C               1               
107        15.60      Veh6            WC_4         46.32      13.89      C               1               

108        15.70      Bike1           NC_2         0.31       0.76       C               0               
108        15.70      Veh1            NC_3         117.16     13.89      C               0               
108        15.70      Veh2            NC_3         47.71      13.89      C               0               
108        15.70      Bike3           WC_2         0.31       0.74       C               1               
108        15.70      Veh5            WC_3         117.16     13.89      C               1               
108        15.70      Veh6            WC_4         47.71      13.89      C               1               

109        15.80      Bike1           NC_2         0.40       0.85       C               0               
109        15.80      Veh1            NC_3         118.55     13.89      C               0               
109        15.80      Veh2            NC_3         49.10      13.89      C               0               
109        15.80      Bike3           WC_2         0.39       0.84       C               1               
109        15.80      Veh5            WC_3         118.55     13.89      C               1               
109        15.80      Veh6            WC_4         49.10      13.89      C               1               

110        15.90      Bike1           NC_2         0.49       0.96       C               0               
110        15.90      Veh1            NC_3         119.94     13.89      C               0               
110        15.90      Veh2            NC_3         50.49      13.89      C               0               
110        15.90      Bike3           WC_2         0.49       0.94       C               1               
110        15.90      Veh5            WC_3         119.94     13.89      C               1               
110        15.90      Veh6            WC_4         50.49      13.89      C               1               

111        16.00      Bike1           NC_2         0.60       1.05       C               0               
111        16.00      Veh1            NC_3         121.33     13.89      C               0               
111        16.00      Veh2            NC_3         51.88      13.89      C               0               
111        16.00      Bike3           WC_2         0.59       1.03       C               1               
111        16.00      Veh5            WC_3         121.33     13.89      C               1               
111        16.00      Veh6            WC_4         51.88      13.89      C               1               

112        16.10      Bike1           NC_2         0.71       1.15       C               0               
112        16.10      Veh1            NC_3         122.71     13.89      C               0               
112        16.10      Veh2            NC_3         53.27      13.89      C               0               
112        16.10      Bike3           WC_2         0.70       1.13       C               1               
112        16.10      Veh5            WC_3         122.71     13.89      C               1               
112        16.10      Veh6            WC_4         53.27      13.89      C               1               

113        16.20      Bike1           NC_2         0.84       1.26       C               0               
113        16.20      Veh1            NC_3         124.10     13.89      C               0               
113        16.20      Veh2            NC_3         54.65      13.89      C               0               
113        16.20      Bike3           WC_2         0.83       1.24       C               1               
113        16.20      Veh5            WC_3         124.10     13.89      C               1               
113        16.20      Veh6            WC_4         54.65      13.89      C               1               

114        16.30      Bike1           NC_2         0.97       1.35       C               0               
114        16.30      Veh1            NC_3         125.49     13.89      C               0               
114        16.30      Veh2            NC_3         56.04      13.89      C               0               
114        16.30      Bike3           WC_2         0.96       1.33       C               1               
114        16.30      Veh5            WC_3         125.49     13.89      C               1               
114        16.30      Veh6            WC_4         56.04      13.89      C               1               

115        16.40      Bike1           NC_2         1.12       1.45       C               0               
115        16.40      Veh1            NC_3         126.88     13.89      C               0               
115        16.40      Veh2            NC_3         57.43      13.89      C               0               
115        16.40      Bike3           WC_2         1.10       1.39       C               1               
115        16.40      Veh5            WC_3         126.88     13.89      C               1               
115        16.40      Veh6            WC_4         57.43      13.89      C               1               

116        16.50      Bike1           NC_2         1.27       1.51       C               0               
116        16.50      Veh1            NC_3         128.27     13.89      C               0               
116        16.50      Veh2            NC_3         58.82      13.89      C               0               
116        16.50      Bike3           WC_2         1.24       1.47       C               1               
116        16.50      Veh5            WC_3         128.27     13.89      C               1               
116        16.50      Veh6            WC_4         58.82      13.89      C               1               

117        16.60      Bike1           NC_2         1.43       1.62       C               0               
117        16.60      Veh1            NC_3         129.66     13.89      C               0               
117        16.60      Veh2            NC_3         60.21      13.89      C               0               
117        16.60      Bike3           WC_2         1.40       1.54       C               1               
117        16.60      Veh5            WC_3         129.66     13.89      C               1               
117        16.60      Veh6            WC_4         60.21      13.89      C               1               

118        16.70      Bike1           NC_2         1.60       1.70       C               0               
118        16.70      Veh1            NC_3         131.05     13.89      C               0               
118        16.70      Veh2            NC_3         61.60      13.89      C               0               
118        16.70      Bike3           WC_2         1.56       1.60       C               1               
118        16.70      Veh5            WC_3         131.05     13.89      C               1               
118        16.70      Veh6            WC_4         61.60      13.89      C               1               

119        16.80      Bike1           NC_2         1.78       1.78       C               0               
119        16.80      Veh1            NC_3         132.44     13.89      C               0               
119        16.80      Veh2            NC_3         62.99      13.89      C               0               
119        16.80      Bike3           WC_2         1.73       1.69       C               1               
119        16.80      Veh5            WC_3         132.44     13.89      C               1               
119        16.80      Veh6            WC_4         62.99      13.89      C               1               

120        16.90      Bike1           NC_2         1.96       1.87       C               0               
120        16.90      Veh1            NC_3         133.83     13.89      C               0               
120        16.90      Veh2            NC_3         64.38      13.89      C               0               
120        16.90      Bike3           WC_2         1.91       1.80       C               1               
120        16.90      Veh5            WC_3         133.83     13.89      C               1               
120        16.90      Veh6            WC_4         64.38      13.89      C               1               

121        17.00      Bike1           NC_2         2.16       1.97       C               0               
121        17.00      Veh1            NC_3         135.22     13.89      C               0               
121        17.00      Veh2            NC_3         65.77      13.89      C               0               
