index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      
38         8.70       Veh10           WC_3         3.60       4.50       C               0               

39         8.80       Veh1            NC_3         22.23      11.40      C               1               
39         8.80       Veh9            NC_3         4.08       4.80       C               1               
39         8.80       Veh5            WC_3         22.23      11.40      C               0               
39         8.80       Veh10           WC_3         4.08       4.80       C               0               

40         8.90       Veh1            NC_3         23.40      11.70      C               1               
40         8.90       Veh9            NC_3         4.59       5.10       C               1               
40         8.90       Veh5            WC_3         23.40      11.70      C               0               
40         8.90       Veh10           WC_3         4.59       5.10       C               0               

41         9.00       Veh1            NC_3         24.60      12.00      C               1               
41         9.00       Veh9            NC_3         5.13       5.40       C               1               
41         9.00       Veh5            WC_3         24.60      12.00      C               0               
41         9.00       Veh10           WC_3         5.13       5.40       C               0               

42         9.10       Veh1            NC_3         25.83      12.30      C               1               
42         9.10       Veh9            NC_3         5.70       5.70       C               1               
42         9.10       Veh5            WC_3         25.83      12.30      C               0               
42         9.10       Veh10           WC_3         5.70       5.70       C               0               

43         9.20       Veh1            NC_3         27.09      12.60      C               1               
43         9.20       Veh9            NC_3         6.30       6.00       C               1               
43         9.20       Veh5            WC_3         27.09      12.60      C               0               
43         9.20       Veh10           WC_3         6.30       6.00       C               0               

44         9.30       Veh1            NC_3         28.38      12.90      C               1               
44         9.30       Veh9            NC_3         6.93       6.30       C               1               
44         9.30       Veh5            WC_3         28.38      12.90      C               0               
44         9.30       Veh10           WC_3         6.93       6.30       C               0               

45         9.40       Veh1            NC_3         29.70      13.20      C               1               
45         9.40       Veh9            NC_3         7.59       6.60       C               1               
45         9.40       Veh5            WC_3         29.70      13.20      C               0               
45         9.40       Veh10           WC_3         7.59       6.60       C               0               

46         9.50       Veh1            NC_3         31.05      13.50      C               1               
46         9.50       Veh9            NC_3         8.28       6.90       C               1               
46         9.50       Veh5            WC_3         31.05      13.50      C               0               
46         9.50       Veh10           WC_3         8.28       6.90       C               0               

47         9.60       Veh1            NC_3         32.43      13.80      C               1               
47         9.60       Veh9            NC_3         9.00       7.20       C               1               
47         9.60       Veh5            WC_3         32.43      13.80      C               0               
47         9.60       Veh10           WC_3         9.00       7.20       C               0               

48         9.70       Veh1            NC_3         33.82      13.89      C               1               
48         9.70       Veh9            NC_3         9.75       7.50       C               1               
48         9.70       Veh5            WC_3         33.82      13.89      C               0               
48         9.70       Veh10           WC_3         9.75       7.50       C               0               

