index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              timeGapSetting      SpaceGap  timeGap         TLid             yellowOrRed      
23         28.00      v4              TypeManual      15to25_0     29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            25                0                 
23         28.00      v2              TypeManual      18to8_0      163.34     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
23         28.00      v3              TypeManual      20to19_1     134.40     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
23         28.00      v1              TypeManual      2to12_0      230.42     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

24         29.00      v4              TypeManual      15to25_0     40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
24         29.00      v2              TypeManual      18to8_0      174.52     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
24         29.00      v3              TypeManual      20to19_1     152.28     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
24         29.00      v1              TypeManual      2to12_0      241.60     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

25         30.00      v4              TypeManual      15to25_0     51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
25         30.00      v2              TypeManual      18to8_0      185.70     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
25         30.00      v3              TypeManual      20to19_1     170.16     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
25         30.00      v5              TypeManual      25to15_0     0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
25         30.00      v1              TypeManual      2to12_0      252.78     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

26         31.00      v4              TypeManual      15to25_0     62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
26         31.00      v2              TypeManual      18to8_0      196.88     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
26         31.00      v3              TypeManual      20to19_1     188.04     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
26         31.00      v5              TypeManual      25to15_0     3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            15                0                 
26         31.00      v1              TypeManual      2to12_0      263.96     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

27         32.00      v4              TypeManual      15to25_0     73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
27         32.00      v2              TypeManual      18to8_0      208.06     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
27         32.00      v3              TypeManual      20to19_1     205.92     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
27         32.00      v5              TypeManual      25to15_0     9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            15                0                 
27         32.00      v1              TypeManual      2to12_0      275.14     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

28         33.00      v4              TypeManual      15to25_0     85.08      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
28         33.00      v2              TypeManual      18to8_0      219.24     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
28         33.00      v3              TypeManual      20to19_1     223.80     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
28         33.00      v5              TypeManual      25to15_0     18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            15                0                 
28         33.00      v1              TypeManual      2to12_0      286.32     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

29         34.00      v4              TypeManual      15to25_0     96.26      11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
29         34.00      v2              TypeManual      18to8_0      230.42     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
29         34.00      v3              TypeManual      20to19_1     241.68     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
29         34.00      v5              TypeManual      25to15_0     29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            15                0                 
29         34.00      v1              TypeManual      2to12_0      297.50     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

30         35.00      v4              TypeManual      15to25_0     107.44     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
