index     vehicle   timeStep    speed     accel       pos         gap       timeGap   
67         CACC3      7.60       0.00       0.00       5.10       2.02       -1.00      
68         CACC1      7.70       20.10      3.00       73.44      -1.00      -1.00      
68         CACC2      7.70       5.40       2.00       12.66      55.78      10.33      
68         CACC3      7.70       0.00       0.00       5.10       2.56       -1.00      
69         CACC1      7.80       20.40      3.00       75.48      -1.00      -1.00      
69         CACC2      7.80       5.60       2.00       13.22      57.26      10.23      
69         CACC3      7.80       0.00       0.00       5.10       3.12       -1.00      
70         CACC1      7.90       20.70      3.00       77.55      -1.00      -1.00      
70         CACC2      7.90       5.80       2.00       13.80      58.75      10.13      
70         CACC3      7.90       0.02       0.24       5.10       3.70       154.07     
71         CACC1      8.00       21.00      3.00       79.65      -1.00      -1.00      
71         CACC2      8.00       6.00       2.00       14.40      60.25      10.04      
71         CACC3      8.00       0.12       1.01       5.11       4.29       34.34      
72         CACC1      8.10       21.30      3.00       81.78      -1.00      -1.00      
72         CACC2      8.10       6.20       2.00       15.02      61.76      9.96       
72         CACC3      8.10       0.32       2.00       5.15       4.87       15.00      
73         CACC1      8.20       21.60      3.00       83.94      -1.00      -1.00      
73         CACC2      8.20       6.40       2.00       15.66      63.28      9.89       
73         CACC3      8.20       0.52       2.00       5.20       5.46       10.40      
74         CACC1      8.30       21.90      3.00       86.13      -1.00      -1.00      
74         CACC2      8.30       6.60       2.00       16.32      64.81      9.82       
74         CACC3      8.30       0.72       2.00       5.27       6.05       8.34       
75         CACC1      8.40       22.20      3.00       88.35      -1.00      -1.00      
75         CACC2      8.40       6.80       2.00       17.00      66.35      9.76       
75         CACC3      8.40       0.92       2.00       5.36       6.64       7.17       
76         CACC1      8.50       22.50      3.00       90.60      -1.00      -1.00      
76         CACC2      8.50       7.00       2.00       17.70      67.90      9.70       
76         CACC3      8.50       1.12       2.00       5.48       7.22       6.42       
77         CACC1      8.60       22.80      3.00       92.88      -1.00      -1.00      
77         CACC2      8.60       7.20       2.00       18.42      69.46      9.65       
77         CACC3      8.60       1.32       2.00       5.61       7.81       5.90       
78         CACC1      8.70       23.10      3.00       95.19      -1.00      -1.00      
78         CACC2      8.70       7.40       2.00       19.16      71.03      9.60       
78         CACC3      8.70       1.52       2.00       5.76       8.40       5.51       
79         CACC1      8.80       23.40      3.00       97.53      -1.00      -1.00      
79         CACC2      8.80       7.60       2.00       19.92      72.61      9.55       
79         CACC3      8.80       1.72       2.00       5.93       8.99       5.21       
80         CACC1      8.90       23.70      3.00       99.90      -1.00      -1.00      
80         CACC2      8.90       7.80       2.00       20.70      74.20      9.51       
80         CACC3      8.90       1.92       2.00       6.13       9.57       4.97       
81         CACC1      9.00       24.00      3.00       102.30     -1.00      -1.00      
81         CACC2      9.00       8.00       2.00       21.50      75.80      9.48       
81         CACC3      9.00       2.12       2.00       6.34       10.16      4.78       
82         CACC1      9.10       23.50      -5.00      104.65     -1.00      -1.00      
82         CACC2      9.10       8.20       2.00       22.32      77.33      9.43       
82         CACC3      9.10       2.32       2.00       6.57       10.75      4.62       
83         CACC1      9.20       23.00      -5.00      106.95     -1.00      -1.00      
83         CACC2      9.20       8.40       2.00       23.16      78.79      9.38       
83         CACC3      9.20       2.52       2.00       6.82       11.34      4.49       
84         CACC1      9.30       22.50      -5.00      109.20     -1.00      -1.00      
84         CACC2      9.30       8.60       2.00       24.02      80.18      9.32       
84         CACC3      9.30       2.72       2.00       7.10       11.92      4.38       
85         CACC1      9.40       22.00      -5.00      111.40     -1.00      -1.00      
85         CACC2      9.40       8.80       2.00       24.90      81.50      9.26       
85         CACC3      9.40       2.92       2.00       7.39       12.51      4.28       
86         CACC1      9.50       21.50      -5.00      113.55     -1.00      -1.00      
86         CACC2      9.50       9.00       2.00       25.80      82.75      9.19       
86         CACC3      9.50       3.12       2.00       7.70       13.10      4.19       
87         CACC1      9.60       21.00      -5.00      115.65     -1.00      -1.00      
87         CACC2      9.60       9.20       2.00       26.72      83.93      9.12       
87         CACC3      9.60       3.32       2.00       8.03       13.69      4.12       
88         CACC1      9.70       20.50      -5.00      117.70     -1.00      -1.00      
88         CACC2      9.70       9.40       2.00       27.66      85.04      9.05       
88         CACC3      9.70       3.52       2.00       8.39       14.27      4.05       
89         CACC1      9.80       20.00      -5.00      119.70     -1.00      -1.00      
89         CACC2      9.80       9.60       2.00       28.62      86.08      8.97       
89         CACC3      9.80       3.72       2.00       8.76       14.86      3.99       
90         CACC1      9.90       19.50      -5.00      121.65     -1.00      -1.00      
90         CACC2      9.90       9.80       2.00       29.60      87.05      8.88       
90         CACC3      9.90       3.92       2.00       9.15       15.45      3.94       
91         CACC1      10.00      19.00      -5.00      123.55     -1.00      -1.00      
91         CACC2      10.00      10.00      2.00       30.60      87.95      8.80       
91         CACC3      10.00      4.12       2.00       9.56       16.04      3.89       
92         CACC1      10.10      18.50      -5.00      125.40     -1.00      -1.00      
92         CACC2      10.10      10.20      2.00       31.62      88.78      8.70       
92         CACC3      10.10      4.32       2.00       10.00      16.62      3.84       
93         CACC1      10.20      18.00      -5.00      127.20     -1.00      -1.00      
93         CACC2      10.20      10.40      2.00       32.66      89.54      8.61       
93         CACC3      10.20      4.52       2.00       10.45      17.21      3.80       
94         CACC1      10.30      17.50      -5.00      128.95     -1.00      -1.00      
94         CACC2      10.30      10.60      2.00       33.72      90.23      8.51       
94         CACC3      10.30      4.72       2.00       10.92      17.80      3.77       
95         CACC1      10.40      17.00      -5.00      130.65     -1.00      -1.00      
95         CACC2      10.40      10.80      2.00       34.80      90.85      8.41       
95         CACC3      10.40      4.92       2.00       11.41      18.39      3.73       
96         CACC1      10.50      16.50      -5.00      132.30     -1.00      -1.00      
96         CACC2      10.50      11.00      2.00       35.90      91.40      8.31       
96         CACC3      10.50      5.12       2.00       11.93      18.97      3.70       
97         CACC1      10.60      16.00      -5.00      133.90     -1.00      -1.00      
97         CACC2      10.60      11.20      2.00       37.02      91.88      8.20       
97         CACC3      10.60      5.32       2.00       12.46      19.56      3.67       
97         CACC4      10.60      0.00       0.00       5.10       2.36       -1.00      
98         CACC1      10.70      15.50      -5.00      135.45     -1.00      -1.00      
98         CACC2      10.70      11.40      2.00       38.16      92.29      8.10       
98         CACC3      10.70      5.52       2.00       13.01      20.15      3.65       
98         CACC4      10.70      0.00       0.00       5.10       2.91       -1.00      
99         CACC1      10.80      15.00      -5.00      136.95     -1.00      -1.00      
99         CACC2      10.80      11.60      2.00       39.32      92.63      7.99       
99         CACC3      10.80      5.72       2.00       13.58      20.74      3.62       
99         CACC4      10.80      0.00       0.02       5.10       3.48       2079.81    
100        CACC1      10.90      14.50      -5.00      138.40     -1.00      -1.00      
100        CACC2      10.90      11.80      2.00       40.50      92.90      7.87       
100        CACC3      10.90      5.92       2.00       14.18      21.32      3.60       
