timeStep    sender         receiver         type                     sendingPlnID        recPlnID            
21.61      CACC8           CACC1             MERGE_REQ                      CACC8              CACC1               
21.61      CACC8           -                 state_waitForMergeReply        -                  -                   

21.62      CACC1           -                 state_sendMergeAccept          -                  -                   
21.62      CACC1           CACC8             MERGE_ACCEPT                   CACC1              CACC8               
21.62      CACC1           -                 state_waitForMergeDone         -                  -                   

21.62      CACC8           -                 state_mergeAccepted            -                  -                   
21.62      CACC8           -                 state_waitForCatchup           -                  -                   

23.90      CACC9           -                 state_waitForLaneChange        -                  -                   

24.00      CACC9           -                 state_platoonLeader            -                  -                   

24.03      CACC9           -                 state_sendMergeReq             -                  -                   
24.03      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.03      CACC9           -                 state_waitForMergeReply        -                  -                   

24.03      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.03      CACC9           -                 state_platoonLeader            -                  -                   

24.13      CACC9           -                 state_sendMergeReq             -                  -                   
24.13      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.13      CACC9           -                 state_waitForMergeReply        -                  -                   

24.13      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.13      CACC9           -                 state_platoonLeader            -                  -                   

24.23      CACC9           -                 state_sendMergeReq             -                  -                   
24.23      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.23      CACC9           -                 state_waitForMergeReply        -                  -                   

24.23      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.23      CACC9           -                 state_platoonLeader            -                  -                   

24.33      CACC9           -                 state_sendMergeReq             -                  -                   
24.33      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.33      CACC9           -                 state_waitForMergeReply        -                  -                   

24.33      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.33      CACC9           -                 state_platoonLeader            -                  -                   

24.43      CACC9           -                 state_sendMergeReq             -                  -                   
24.43      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.43      CACC9           -                 state_waitForMergeReply        -                  -                   

24.43      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.43      CACC9           -                 state_platoonLeader            -                  -                   

24.53      CACC9           -                 state_sendMergeReq             -                  -                   
24.53      CACC9           CACC8             MERGE_REQ                      CACC9              CACC8               
24.53      CACC9           -                 state_waitForMergeReply        -                  -                   

24.53      CACC8           CACC9             MERGE_REJECT                   CACC8              CACC9               

24.53      CACC9           -                 state_platoonLeader            -                  -                   

24.62      CACC8           -                 state_sendMergeDone            -                  -                   
24.62      CACC8           CACC1             MERGE_DONE                     CACC1              CACC1               
24.62      CACC8           -                 state_platoonFollower          -                  -                   

24.62      CACC1           -                 state_mergeDone                -                  -                   
24.62      CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
24.62      CACC1           -                 state_platoonLeader            -                  -                   

24.63      CACC9           -                 state_sendMergeReq             -                  -                   
24.63      CACC9           CACC1             MERGE_REQ                      CACC9              CACC1               
24.63      CACC9           -                 state_waitForMergeReply        -                  -                   

24.63      CACC1           -                 state_sendMergeAccept          -                  -                   
24.63      CACC1           CACC9             MERGE_ACCEPT                   CACC1              CACC9               
24.63      CACC1           -                 state_waitForMergeDone         -                  -                   

24.63      CACC9           -                 state_mergeAccepted            -                  -                   
24.63      CACC9           -                 state_waitForCatchup           -                  -                   

26.40      CACC10          -                 state_waitForLaneChange        -                  -                   

26.50      CACC10          -                 state_platoonLeader            -                  -                   

26.51      CACC10          -                 state_sendMergeReq             -                  -                   
26.51      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
26.51      CACC10          -                 state_waitForMergeReply        -                  -                   

26.51      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

26.51      CACC10          -                 state_platoonLeader            -                  -                   

26.61      CACC10          -                 state_sendMergeReq             -                  -                   
26.61      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
26.61      CACC10          -                 state_waitForMergeReply        -                  -                   

26.61      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

26.61      CACC10          -                 state_platoonLeader            -                  -                   

26.71      CACC10          -                 state_sendMergeReq             -                  -                   
26.71      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
26.71      CACC10          -                 state_waitForMergeReply        -                  -                   

26.71      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

26.71      CACC10          -                 state_platoonLeader            -                  -                   

26.81      CACC10          -                 state_sendMergeReq             -                  -                   
26.81      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
26.81      CACC10          -                 state_waitForMergeReply        -                  -                   

26.81      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

26.81      CACC10          -                 state_platoonLeader            -                  -                   

26.91      CACC10          -                 state_sendMergeReq             -                  -                   
26.91      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
26.91      CACC10          -                 state_waitForMergeReply        -                  -                   

26.91      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

26.91      CACC10          -                 state_platoonLeader            -                  -                   

27.01      CACC10          -                 state_sendMergeReq             -                  -                   
27.01      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.01      CACC10          -                 state_waitForMergeReply        -                  -                   

27.01      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.01      CACC10          -                 state_platoonLeader            -                  -                   

27.11      CACC10          -                 state_sendMergeReq             -                  -                   
27.11      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.11      CACC10          -                 state_waitForMergeReply        -                  -                   

27.11      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.11      CACC10          -                 state_platoonLeader            -                  -                   

27.21      CACC10          -                 state_sendMergeReq             -                  -                   
27.21      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.21      CACC10          -                 state_waitForMergeReply        -                  -                   

27.21      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.21      CACC10          -                 state_platoonLeader            -                  -                   

27.31      CACC10          -                 state_sendMergeReq             -                  -                   
27.31      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.31      CACC10          -                 state_waitForMergeReply        -                  -                   

27.31      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.31      CACC10          -                 state_platoonLeader            -                  -                   

27.41      CACC10          -                 state_sendMergeReq             -                  -                   
27.41      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.41      CACC10          -                 state_waitForMergeReply        -                  -                   

27.41      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.41      CACC10          -                 state_platoonLeader            -                  -                   

27.51      CACC10          -                 state_sendMergeReq             -                  -                   
27.51      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.51      CACC10          -                 state_waitForMergeReply        -                  -                   

27.51      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.51      CACC10          -                 state_platoonLeader            -                  -                   

27.61      CACC10          -                 state_sendMergeReq             -                  -                   
27.61      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.61      CACC10          -                 state_waitForMergeReply        -                  -                   

27.61      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.61      CACC10          -                 state_platoonLeader            -                  -                   

27.71      CACC10          -                 state_sendMergeReq             -                  -                   
27.71      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.71      CACC10          -                 state_waitForMergeReply        -                  -                   

27.71      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.71      CACC10          -                 state_platoonLeader            -                  -                   

27.81      CACC10          -                 state_sendMergeReq             -                  -                   
27.81      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.81      CACC10          -                 state_waitForMergeReply        -                  -                   

27.81      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.81      CACC10          -                 state_platoonLeader            -                  -                   

27.91      CACC10          -                 state_sendMergeReq             -                  -                   
27.91      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
27.91      CACC10          -                 state_waitForMergeReply        -                  -                   

27.91      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

27.91      CACC10          -                 state_platoonLeader            -                  -                   

28.01      CACC10          -                 state_sendMergeReq             -                  -                   
28.01      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.01      CACC10          -                 state_waitForMergeReply        -                  -                   

28.01      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.01      CACC10          -                 state_platoonLeader            -                  -                   

28.11      CACC10          -                 state_sendMergeReq             -                  -                   
28.11      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.11      CACC10          -                 state_waitForMergeReply        -                  -                   

28.11      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.11      CACC10          -                 state_platoonLeader            -                  -                   

28.21      CACC10          -                 state_sendMergeReq             -                  -                   
28.21      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.21      CACC10          -                 state_waitForMergeReply        -                  -                   

28.21      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.21      CACC10          -                 state_platoonLeader            -                  -                   

28.31      CACC10          -                 state_sendMergeReq             -                  -                   
28.31      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.31      CACC10          -                 state_waitForMergeReply        -                  -                   

28.31      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.31      CACC10          -                 state_platoonLeader            -                  -                   

28.41      CACC10          -                 state_sendMergeReq             -                  -                   
28.41      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.41      CACC10          -                 state_waitForMergeReply        -                  -                   

28.41      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.41      CACC10          -                 state_platoonLeader            -                  -                   

28.51      CACC10          -                 state_sendMergeReq             -                  -                   
28.51      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.51      CACC10          -                 state_waitForMergeReply        -                  -                   

28.51      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.51      CACC10          -                 state_platoonLeader            -                  -                   

28.61      CACC10          -                 state_sendMergeReq             -                  -                   
28.61      CACC10          CACC9             MERGE_REQ                      CACC10             CACC9               
28.61      CACC10          -                 state_waitForMergeReply        -                  -                   

28.61      CACC9           CACC10            MERGE_REJECT                   CACC9              CACC10              

28.61      CACC10          -                 state_platoonLeader            -                  -                   

28.63      CACC9           -                 state_sendMergeDone            -                  -                   
28.63      CACC9           CACC1             MERGE_DONE                     CACC1              CACC1               
28.63      CACC9           -                 state_platoonFollower          -                  -                   

28.63      CACC1           -                 state_mergeDone                -                  -                   
