loopDetector        vehicleName         vehicleEntryTime    vehicleLeaveTime    vehicleEntrySpeed     vehicleLeaveSpeed     

detector1            CACC1                508.38               508.63               20.00                20.00                
detector1            CACC2                509.28               509.53               20.00                20.00                
detector1            CACC3                510.18               510.43               20.00                20.00                
detector1            CACC4                511.08               511.33               20.00                20.00                
detector1            CACC5                511.98               512.23               20.00                20.00                
detector1            CACC6                512.88               513.13               20.00                20.00                
detector1            CACC7                513.78               514.03               20.00                20.00                
detector1            CACC8                514.68               514.93               20.00                20.00                
detector1            CACC9                515.58               515.83               20.00                20.00                
detector1            CACC10               516.48               516.73               20.00                20.00                
detector1            CACC11               520.33               520.58               20.00                20.00                
detector1            CACC12               521.23               521.48               20.00                20.00                
detector1            CACC13               522.13               522.38               20.00                20.00                
detector1            CACC14               523.03               523.28               20.00                20.00                
detector1            CACC15               523.93               524.18               20.00                20.00                
detector1            CACC16               524.83               525.08               20.00                20.00                
detector1            CACC17               525.73               525.98               20.00                20.00                
detector1            CACC18               526.63               526.88               20.00                20.00                
detector1            CACC19               527.53               527.78               20.00                20.00                
detector1            CACC20               528.43               528.68               20.00                20.00                
detector1            CACC21               532.28               532.53               20.00                20.00                
detector1            CACC22               533.18               533.43               20.00                20.00                
detector1            CACC23               534.08               534.33               20.00                20.00                
detector1            CACC24               534.98               535.23               20.00                20.00                
detector1            CACC25               535.88               536.13               20.00                20.00                
detector1            CACC26               536.78               537.03               20.00                20.00                
detector1            CACC27               537.68               537.93               20.00                20.00                
detector1            CACC28               538.58               538.83               20.00                20.00                
detector1            CACC29               539.48               539.73               20.00                20.00                
detector1            CACC30               540.38               540.63               20.00                20.00                
detector1            CACC31               544.23               544.48               20.00                20.00                
detector1            CACC32               545.13               545.38               20.00                20.00                
detector1            CACC33               546.03               546.28               20.00                20.00                
detector1            CACC34               546.93               547.18               20.00                20.00                
detector1            CACC35               547.83               548.08               20.00                20.00                
detector1            CACC36               548.73               548.98               20.00                20.00                
detector1            CACC37               549.63               549.88               20.00                20.00                
detector1            CACC38               550.53               550.78               20.00                20.00                
detector1            CACC39               551.43               551.68               20.00                20.00                
detector1            CACC40               552.33               552.58               20.00                20.00                
detector1            CACC41               556.18               556.43               20.00                20.00                
detector1            CACC42               557.08               557.33               20.00                20.00                
detector1            CACC43               557.98               558.23               20.00                20.00                
detector1            CACC44               558.88               559.13               20.00                20.00                
detector1            CACC45               559.78               560.03               20.00                20.00                
detector1            CACC46               560.68               560.93               20.00                20.00                
detector1            CACC47               561.58               561.83               20.00                20.00                
detector1            CACC48               562.48               562.73               20.00                20.00                
detector1            CACC49               563.38               563.63               20.00                20.00                
detector1            CACC50               564.28               564.53               20.00                20.00                
detector1            CACC51               568.13               568.38               20.00                20.00                
detector1            CACC52               569.03               569.28               20.00                20.00                
detector1            CACC53               569.93               570.18               20.00                20.00                
detector1            CACC54               570.83               571.08               20.00                20.00                
detector1            CACC55               571.73               571.98               20.00                20.00                
detector1            CACC56               572.63               572.88               20.00                20.00                
detector1            CACC57               573.53               573.78               20.00                20.00                
detector1            CACC58               574.43               574.68               20.00                20.00                
detector1            CACC59               575.33               575.58               20.00                20.00                
detector1            CACC60               576.23               576.48               20.00                20.00                
detector1            CACC61               580.08               580.33               20.00                20.00                
detector1            CACC62               580.98               581.23               20.00                20.00                
detector1            CACC63               581.88               582.13               20.00                20.00                
detector1            CACC64               582.78               583.03               20.00                20.00                
detector1            CACC65               583.68               583.93               20.00                20.00                
detector1            CACC66               584.58               584.83               20.00                20.00                
detector1            CACC67               585.48               585.73               20.00                20.00                
detector1            CACC68               586.38               586.63               20.00                20.00                
detector1            CACC69               587.28               587.53               20.00                20.00                
detector1            CACC70               588.18               588.43               20.00                20.00                
detector1            CACC71               592.03               592.28               20.00                20.00                
detector1            CACC72               592.93               593.18               20.00                20.00                
detector1            CACC73               593.83               594.08               20.00                20.00                
detector1            CACC74               594.73               594.98               20.00                20.00                
detector1            CACC75               595.63               595.88               20.00                20.00                
detector1            CACC76               596.53               596.78               20.00                20.00                
detector1            CACC77               597.43               597.68               20.00                20.00                
detector1            CACC78               598.33               598.58               20.00                20.00                
detector1            CACC79               599.23               599.48               20.00                20.00                
detector1            CACC80               600.13               600.38               20.00                20.00                
detector1            CACC81               603.98               604.23               20.00                20.00                
detector1            CACC82               604.88               605.13               20.00                20.00                
detector1            CACC83               605.78               606.03               20.00                20.00                
detector1            CACC84               606.68               606.93               20.00                20.00                
detector1            CACC85               607.58               607.83               20.00                20.00                
detector1            CACC86               608.48               608.73               20.00                20.00                
detector1            CACC87               609.38               609.63               20.00                20.00                
detector1            CACC88               610.28               610.53               20.00                20.00                
detector1            CACC89               611.18               611.43               20.00                20.00                
detector1            CACC90               612.08               612.33               20.00                20.00                
detector1            CACC91               615.93               616.18               20.00                20.00                
detector1            CACC92               616.83               617.08               20.00                20.00                
detector1            CACC93               617.73               617.98               20.00                20.00                
detector1            CACC94               618.63               618.88               20.00                20.00                
detector1            CACC95               619.53               619.78               20.00                20.00                
detector1            CACC96               620.43               620.68               20.00                20.00                
detector1            CACC97               621.33               621.58               20.00                20.00                
detector1            CACC98               622.23               622.48               20.00                20.00                
detector1            CACC99               623.13               623.38               20.00                20.00                
detector1            CACC100              624.03               624.28               20.00                20.00                
detector1            CACC101              627.88               628.13               20.00                20.00                
detector1            CACC102              628.78               629.03               20.00                20.00                
detector1            CACC103              629.68               629.93               20.00                20.00                
detector1            CACC104              630.58               630.83               20.00                20.00                
detector1            CACC105              631.48               631.73               20.00                20.00                
detector1            CACC106              632.38               632.63               20.00                20.00                
detector1            CACC107              633.28               633.53               20.00                20.00                
detector1            CACC108              634.18               634.43               20.00                20.00                
detector1            CACC109              635.08               635.33               20.00                20.00                
detector1            CACC110              635.98               636.23               20.00                20.00                
detector1            CACC111              639.83               640.08               19.96                19.96                
detector1            CACC112              640.73               640.98               19.97                19.97                
detector1            CACC113              641.63               641.88               19.97                19.97                
detector1            CACC114              642.53               642.78               20.11                20.07                
detector1            CACC115              643.71               643.92               23.35                23.06                
detector1            CACC116              645.56               645.74               29.00                28.51                
detector1            CACC117              648.05               648.18               36.95                36.64                
detector1            CACC118              651.00               651.13               41.31                41.21                
detector1            CACC119              654.41               654.51               47.33                47.27                
detector1            CACC120              658.08               658.17               55.78                55.41                
detector1            CACC121              662.09               662.18               57.71                57.27                
detector1            CACC122              665.91               -1.00                64.58                -1.00                
detector1            CACC123              669.97               670.04               67.82                67.55                
detector1            CACC124              674.02               -1.00                73.68                -1.00                
detector1            CACC125              678.32               -1.00                78.43                -1.00                
detector1            CACC126              682.71               -1.00                82.42                -1.00                
detector1            CACC127              686.77               686.83               88.31                88.05                
detector1            CACC128              691.12               -1.00                89.42                -1.00                
detector1            CACC129              695.56               695.61               93.57                93.47                
detector1            CACC130              699.95               -1.00                96.77                -1.00                
