loopDetector        vehicleName         vehicleEntryTime    vehicleLeaveTime    vehicleEntrySpeed     vehicleLeaveSpeed     

detector1            CACC1                508.38               508.63               20.00                20.00                
detector1            CACC2                509.28               509.53               20.00                20.00                
detector1            CACC3                510.18               510.43               20.00                20.00                
detector1            CACC4                511.08               511.33               20.00                20.00                
detector1            CACC5                511.98               512.23               20.00                20.00                
detector1            CACC6                512.88               513.13               20.00                20.00                
detector1            CACC7                513.78               514.03               20.00                20.00                
detector1            CACC8                514.68               514.93               20.00                20.00                
detector1            CACC9                515.58               515.83               20.00                20.00                
detector1            CACC10               516.48               516.73               20.00                20.00                
detector1            CACC11               517.38               517.63               20.00                20.00                
detector1            CACC12               518.28               518.53               20.00                20.00                
detector1            CACC13               519.18               519.43               20.00                20.00                
detector1            CACC14               520.08               520.33               20.00                20.00                
detector1            CACC15               520.98               521.23               20.00                20.00                
detector1            CACC16               524.83               525.08               20.00                20.00                
detector1            CACC17               525.73               525.98               20.00                20.00                
detector1            CACC18               526.63               526.88               20.00                20.00                
detector1            CACC19               527.53               527.78               20.00                20.00                
detector1            CACC20               528.43               528.68               20.00                20.00                
detector1            CACC21               529.33               529.58               20.00                20.00                
detector1            CACC22               530.23               530.48               20.00                20.00                
detector1            CACC23               531.13               531.38               20.00                20.00                
detector1            CACC24               532.03               532.28               20.00                20.00                
detector1            CACC25               532.93               533.18               20.00                20.00                
detector1            CACC26               533.83               534.08               20.00                20.00                
detector1            CACC27               534.73               534.98               20.00                20.00                
detector1            CACC28               535.63               535.88               20.00                20.00                
detector1            CACC29               536.53               536.78               20.00                20.00                
detector1            CACC30               537.43               537.68               20.00                20.00                
detector1            CACC31               541.28               541.53               20.00                20.00                
detector1            CACC32               542.18               542.43               20.00                20.00                
detector1            CACC33               543.08               543.33               20.00                20.00                
detector1            CACC34               543.98               544.23               20.00                20.00                
detector1            CACC35               544.88               545.13               20.00                20.00                
detector1            CACC36               545.78               546.03               20.00                20.00                
detector1            CACC37               546.68               546.93               20.00                20.00                
detector1            CACC38               547.58               547.83               20.00                20.00                
detector1            CACC39               548.48               548.73               20.00                20.00                
detector1            CACC40               549.38               549.63               20.00                20.00                
detector1            CACC41               550.28               550.53               20.00                20.00                
detector1            CACC42               551.18               551.43               20.00                20.00                
detector1            CACC43               552.08               552.33               20.00                20.00                
detector1            CACC44               552.98               553.23               20.00                20.00                
detector1            CACC45               553.88               554.13               20.00                20.00                
detector1            CACC46               557.73               557.98               20.00                20.00                
detector1            CACC47               558.63               558.88               20.00                20.00                
detector1            CACC48               559.53               559.78               20.00                20.00                
detector1            CACC49               560.43               560.68               20.00                20.00                
detector1            CACC50               561.33               561.58               20.00                20.00                
detector1            CACC51               562.23               562.48               20.00                20.00                
detector1            CACC52               563.13               563.38               20.00                20.00                
detector1            CACC53               564.03               564.28               20.00                20.00                
detector1            CACC54               564.93               565.18               20.00                20.00                
detector1            CACC55               565.83               566.08               20.00                20.00                
detector1            CACC56               566.73               566.98               20.00                20.00                
detector1            CACC57               567.63               567.88               20.00                20.00                
detector1            CACC58               568.53               568.78               20.00                20.00                
detector1            CACC59               569.43               569.68               20.00                20.00                
detector1            CACC60               570.33               570.58               20.00                20.00                
detector1            CACC61               574.18               574.43               20.00                20.00                
detector1            CACC62               575.08               575.33               20.00                20.00                
detector1            CACC63               575.98               576.23               20.00                20.00                
detector1            CACC64               576.88               577.13               20.00                20.00                
detector1            CACC65               577.78               578.03               20.00                20.00                
detector1            CACC66               578.68               578.93               20.00                20.00                
detector1            CACC67               579.58               579.83               20.00                20.00                
detector1            CACC68               580.48               580.73               20.00                20.00                
detector1            CACC69               581.38               581.63               20.00                20.00                
detector1            CACC70               582.28               582.53               20.00                20.00                
detector1            CACC71               583.18               583.43               20.00                20.00                
detector1            CACC72               584.08               584.33               20.00                20.00                
detector1            CACC73               584.98               585.23               20.00                20.00                
detector1            CACC74               585.88               586.13               20.00                20.00                
detector1            CACC75               586.78               587.03               20.00                20.00                
detector1            CACC76               590.63               590.88               20.00                20.00                
detector1            CACC77               591.53               591.78               20.00                20.00                
detector1            CACC78               592.43               592.68               20.00                20.00                
detector1            CACC79               593.33               593.58               20.00                20.00                
detector1            CACC80               594.23               594.48               20.00                20.00                
detector1            CACC81               595.13               595.38               20.00                20.00                
detector1            CACC82               596.03               596.28               20.00                20.00                
detector1            CACC83               596.93               597.18               20.00                20.00                
detector1            CACC84               597.83               598.08               20.00                20.00                
detector1            CACC85               598.73               598.98               20.00                20.00                
detector1            CACC86               599.63               599.88               20.00                20.00                
detector1            CACC87               600.53               600.78               20.00                20.00                
detector1            CACC88               601.43               601.68               20.00                20.00                
detector1            CACC89               602.33               602.58               20.00                20.00                
detector1            CACC90               603.23               603.48               20.00                20.00                
detector1            CACC91               607.08               607.33               20.00                20.00                
detector1            CACC92               607.98               608.23               20.00                20.00                
detector1            CACC93               608.88               609.13               20.00                20.00                
detector1            CACC94               609.78               610.03               20.00                20.00                
detector1            CACC95               610.68               610.93               20.00                20.00                
detector1            CACC96               611.58               611.83               20.00                20.00                
detector1            CACC97               612.48               612.73               20.00                20.00                
detector1            CACC98               613.38               613.63               20.00                20.00                
detector1            CACC99               614.28               614.53               20.00                20.00                
detector1            CACC100              615.18               615.43               20.00                20.00                
detector1            CACC101              616.08               616.33               20.00                20.00                
detector1            CACC102              616.98               617.23               20.00                20.00                
detector1            CACC103              617.88               618.13               20.00                20.00                
detector1            CACC104              618.78               619.03               20.00                20.00                
detector1            CACC105              619.68               619.93               20.00                20.00                
detector1            CACC106              623.53               623.78               20.00                20.00                
detector1            CACC107              624.43               624.68               20.00                20.00                
detector1            CACC108              625.33               625.58               20.00                20.00                
detector1            CACC109              626.23               626.48               20.00                20.00                
detector1            CACC110              627.13               627.38               20.00                20.00                
detector1            CACC111              628.03               628.28               20.03                19.99                
detector1            CACC112              629.14               629.36               22.71                22.78                
detector1            CACC113              630.92               631.10               27.44                27.18                
detector1            CACC114              633.46               633.60               33.00                35.30                
detector1            CACC115              636.51               636.62               43.39                43.29                
detector1            CACC116              639.67               639.78               46.92                46.54                
detector1            CACC117              643.24               643.33               55.38                55.22                
detector1            CACC118              646.98               647.07               59.47                59.06                
detector1            CACC119              650.97               651.04               65.39                65.12                
detector1            CACC120              654.85               654.92               71.75                71.60                
detector1            CACC121              658.99               659.06               73.84                73.42                
detector1            CACC122              663.29               663.35               79.02                78.63                
detector1            CACC123              667.60               -1.00                82.93                -1.00                
detector1            CACC124              671.69               671.75               88.55                88.11                
detector1            CACC125              676.07               676.13               89.65                89.42                
detector1            CACC126              680.58               680.63               93.38                93.11                
detector1            CACC127              684.97               685.02               96.83                96.62                
detector1            CACC128              689.45               689.50               100.94               100.92               
detector1            CACC129              693.90               -1.00                104.69               -1.00                
detector1            CACC130              698.45               -1.00                108.26               -1.00                
