Total Number of received beacons from other vehicle

vehicle   beacons   
V[0]       151960     
V[2]       153356     
V[1]       149379     
V[3]       157266     
V[4]       160550     
V[5]       163582     
V[6]       166173     
V[7]       168774     
V[8]       169790     
V[9]       170914     
V[10]      171959     
V[11]      174289     
V[12]      176456     
V[13]      178319     
V[14]      180242     
V[15]      186627     
V[16]      187530     
V[17]      188446     
V[18]      187610     
V[19]      188628     
V[20]      190545     
V[21]      191065     
V[22]      191126     
V[23]      189344     
V[24]      187724     
V[25]      187708     
V[26]      185875     
V[27]      183688     
V[28]      181114     
V[29]      178747     
V[30]      170578     
V[31]      167108     
V[32]      164325     
V[33]      160895     
V[34]      158008     
V[35]      155997     
V[36]      153721     
V[37]      151310     
V[38]      148385     
V[39]      144893     
V[40]      140897     
V[41]      136478     
V[42]      132041     
V[43]      127205     
V[44]      122787     
