index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              gap       timeGap   
41         5.70       CACC1           TypeCACC@CACC1  1to2_1       24.52      11.20      -5.00      Undefined           -1.00      -1.00      

42         5.80       CACC2           TypeCACC        1to2_0       3.81       3.90       3.00       SpeedControl        -1.00      -1.00      
42         5.80       CACC1           TypeCACC@CACC1  1to2_1       25.59      10.70      -5.00      Undefined           -1.00      -1.00      

43         5.90       CACC2           TypeCACC        1to2_0       4.23       4.20       3.00       SpeedControl        -1.00      -1.00      
43         5.90       CACC1           TypeCACC@CACC1  1to2_1       26.61      10.20      -5.00      Undefined           -1.00      -1.00      

44         6.00       CACC2           TypeCACC        1to2_0       4.68       4.50       3.00       SpeedControl        -1.00      -1.00      
44         6.00       CACC1           TypeCACC@CACC1  1to2_1       27.58      9.70       -5.00      Undefined           -1.00      -1.00      

45         6.10       CACC2           TypeCACC        1to2_0       5.16       4.80       3.00       SpeedControl        -1.00      -1.00      
45         6.10       CACC1           TypeCACC@CACC1  1to2_1       28.50      9.20       -5.00      Undefined           -1.00      -1.00      

46         6.20       CACC2           TypeCACC        1to2_0       5.67       5.10       3.00       SpeedControl        -1.00      -1.00      
46         6.20       CACC1           TypeCACC@CACC1  1to2_1       29.37      8.70       -5.00      Undefined           -1.00      -1.00      

47         6.30       CACC2           TypeCACC        1to2_0       6.21       5.40       3.00       SpeedControl        -1.00      -1.00      
47         6.30       CACC1           TypeCACC@CACC1  1to2_1       30.19      8.20       -5.00      Undefined           -1.00      -1.00      

48         6.40       CACC2           TypeCACC        1to2_0       6.78       5.70       3.00       SpeedControl        -1.00      -1.00      
48         6.40       CACC1           TypeCACC@CACC1  1to2_1       30.96      7.70       -5.00      Undefined           -1.00      -1.00      

49         6.50       CACC2           TypeCACC        1to2_0       7.38       6.00       3.00       SpeedControl        -1.00      -1.00      
49         6.50       CACC3           TypeCACC        1to2_0       0.00       0.00       0.00       GapControl          2.38       -1.00      
49         6.50       CACC1           TypeCACC@CACC1  1to2_1       31.68      7.20       -5.00      Undefined           -1.00      -1.00      

50         6.60       CACC2           TypeCACC        1to2_0       8.01       6.30       3.00       SpeedControl        -1.00      -1.00      
50         6.60       CACC3           TypeCACC        1to2_0       0.02       0.20       2.00       GapControl          2.99       14.95      
50         6.60       CACC1           TypeCACC@CACC1  1to2_1       32.35      6.70       -5.00      Undefined           -1.00      -1.00      

51         6.70       CACC2           TypeCACC        1to2_0       8.67       6.60       3.00       SpeedControl        -1.00      -1.00      
51         6.70       CACC3           TypeCACC        1to2_0       0.06       0.40       2.00       GapControl          3.61       9.02       
51         6.70       CACC1           TypeCACC@CACC1  1to2_1       32.97      6.20       -5.00      Undefined           -1.00      -1.00      

52         6.80       CACC2           TypeCACC        1to2_0       9.36       6.90       3.00       SpeedControl        -1.00      -1.00      
52         6.80       CACC3           TypeCACC        1to2_0       0.12       0.60       2.00       SpeedControl        4.24       7.07       
52         6.80       CACC1           TypeCACC@CACC1  1to2_1       33.54      5.70       -5.00      Undefined           -1.00      -1.00      

53         6.90       CACC2           TypeCACC        1to2_0       10.08      7.20       3.00       SpeedControl        -1.00      -1.00      
53         6.90       CACC3           TypeCACC        1to2_0       0.20       0.80       2.00       SpeedControl        4.88       6.10       
53         6.90       CACC1           TypeCACC@CACC1  1to2_1       34.06      5.20       -5.00      Undefined           -1.00      -1.00      

54         7.00       CACC2           TypeCACC        1to2_0       10.83      7.50       3.00       SpeedControl        -1.00      -1.00      
54         7.00       CACC3           TypeCACC        1to2_0       0.30       1.00       2.00       SpeedControl        5.53       5.53       
54         7.00       CACC1           TypeCACC@CACC1  1to2_1       34.56      5.00       -2.00      Undefined           -1.00      -1.00      

55         7.10       CACC2           TypeCACC        1to2_0       11.61      7.80       3.00       SpeedControl        -1.00      -1.00      
55         7.10       CACC3           TypeCACC        1to2_0       0.42       1.20       2.00       SpeedControl        6.19       5.16       
55         7.10       CACC1           TypeCACC@CACC1  1to2_1       35.06      5.00       0.00       Undefined           -1.00      -1.00      

56         7.20       CACC2           TypeCACC        1to2_0       12.42      8.10       3.00       SpeedControl        -1.00      -1.00      
56         7.20       CACC3           TypeCACC        1to2_0       0.56       1.40       2.00       SpeedControl        6.86       4.90       
56         7.20       CACC1           TypeCACC@CACC1  1to2_1       35.56      5.00       0.00       Undefined           -1.00      -1.00      

57         7.30       CACC2           TypeCACC        1to2_0       13.26      8.40       3.00       SpeedControl        -1.00      -1.00      
57         7.30       CACC3           TypeCACC        1to2_0       0.72       1.60       2.00       SpeedControl        7.54       4.71       
57         7.30       CACC1           TypeCACC@CACC1  1to2_1       36.06      5.00       0.00       Undefined           -1.00      -1.00      

58         7.40       CACC2           TypeCACC        1to2_0       14.13      8.70       3.00       SpeedControl        -1.00      -1.00      
58         7.40       CACC3           TypeCACC        1to2_0       0.90       1.80       2.00       SpeedControl        8.23       4.57       
58         7.40       CACC1           TypeCACC@CACC1  1to2_1       36.56      5.00       0.00       Undefined           -1.00      -1.00      

59         7.50       CACC2           TypeCACC        1to2_0       15.03      9.00       3.00       SpeedControl        -1.00      -1.00      
59         7.50       CACC3           TypeCACC        1to2_0       1.10       2.00       2.00       SpeedControl        8.93       4.47       
59         7.50       CACC1           TypeCACC@CACC1  1to2_1       37.06      5.00       0.00       Undefined           -1.00      -1.00      

60         7.60       CACC2           TypeCACC        1to2_0       15.96      9.30       3.00       SpeedControl        -1.00      -1.00      
60         7.60       CACC3           TypeCACC        1to2_0       1.32       2.20       2.00       SpeedControl        9.64       4.38       
60         7.60       CACC1           TypeCACC@CACC1  1to2_1       37.56      5.00       0.00       Undefined           -1.00      -1.00      

61         7.70       CACC2           TypeCACC        1to2_0       16.92      9.60       3.00       SpeedControl        -1.00      -1.00      
61         7.70       CACC3           TypeCACC        1to2_0       1.56       2.40       2.00       SpeedControl        10.36      4.32       
61         7.70       CACC1           TypeCACC@CACC1  1to2_1       38.06      5.00       0.00       Undefined           -1.00      -1.00      

62         7.80       CACC2           TypeCACC        1to2_0       17.91      9.90       3.00       SpeedControl        -1.00      -1.00      
62         7.80       CACC3           TypeCACC        1to2_0       1.82       2.60       2.00       SpeedControl        11.09      4.27       
62         7.80       CACC1           TypeCACC@CACC1  1to2_1       38.56      5.00       0.00       Undefined           -1.00      -1.00      

63         7.90       CACC3           TypeCACC        1to2_0       2.10       2.80       2.00       SpeedControl        -1.00      -1.00      
63         7.90       CACC1           TypeCACC@CACC1  1to2_1       39.06      5.00       0.00       Undefined           -1.00      -1.00      
63         7.90       CACC2           TypeCACC@CACC2  1to2_1       18.85      9.40       -5.00      SpeedControl        15.21      1.62       

64         8.00       CACC3           TypeCACC        1to2_0       2.41       3.10       3.00       SpeedControl        -1.00      -1.00      
64         8.00       CACC1           TypeCACC@CACC1  1to2_1       39.56      5.00       0.00       Undefined           -1.00      -1.00      
64         8.00       CACC2           TypeCACC@CACC2  1to2_1       19.74      8.90       -5.00      GapControl          14.82      1.67       

65         8.10       CACC3           TypeCACC        1to2_0       2.75       3.40       3.00       SpeedControl        -1.00      -1.00      
65         8.10       CACC1           TypeCACC@CACC1  1to2_1       40.06      5.00       0.00       Undefined           -1.00      -1.00      
65         8.10       CACC2           TypeCACC@CACC2  1to2_1       20.61      8.74       -1.64      SpeedControl        14.45      1.65       

66         8.20       CACC3           TypeCACC        1to2_0       3.12       3.70       3.00       SpeedControl        -1.00      -1.00      
66         8.20       CACC1           TypeCACC@CACC1  1to2_1       40.56      5.00       0.00       Undefined           -1.00      -1.00      
66         8.20       CACC2           TypeCACC@CACC2  1to2_1       21.50      8.83       0.90       SpeedControl        14.06      1.59       

67         8.30       CACC3           TypeCACC        1to2_0       3.52       4.00       3.00       SpeedControl        -1.00      -1.00      
67         8.30       CACC1           TypeCACC@CACC1  1to2_1       41.06      5.00       0.00       Undefined           -1.00      -1.00      
67         8.30       CACC2           TypeCACC@CACC2  1to2_1       22.40      9.03       2.00       SpeedControl        13.66      1.51       

68         8.40       CACC3           TypeCACC        1to2_0       3.95       4.30       3.00       SpeedControl        -1.00      -1.00      
68         8.40       CACC1           TypeCACC@CACC1  1to2_1       41.56      5.00       0.00       Undefined           -1.00      -1.00      
68         8.40       CACC2           TypeCACC@CACC2  1to2_1       23.32      9.23       2.00       SpeedControl        13.24      1.43       

69         8.50       CACC3           TypeCACC        1to2_0       4.41       4.60       3.00       SpeedControl        -1.00      -1.00      
69         8.50       CACC1           TypeCACC@CACC1  1to2_1       42.06      5.00       0.00       Undefined           -1.00      -1.00      
69         8.50       CACC2           TypeCACC@CACC2  1to2_1       24.26      9.43       2.00       SpeedControl        12.80      1.36       

70         8.60       CACC3           TypeCACC        1to2_0       4.90       4.90       3.00       SpeedControl        -1.00      -1.00      
70         8.60       CACC1           TypeCACC@CACC1  1to2_1       42.56      5.00       0.00       Undefined           -1.00      -1.00      
70         8.60       CACC2           TypeCACC@CACC2  1to2_1       25.23      9.63       2.00       SpeedControl        12.33      1.28       

71         8.70       CACC3           TypeCACC        1to2_0       5.42       5.20       3.00       SpeedControl        -1.00      -1.00      
71         8.70       CACC1           TypeCACC@CACC1  1to2_1       43.06      5.00       0.00       Undefined           -1.00      -1.00      
71         8.70       CACC2           TypeCACC@CACC2  1to2_1       26.21      9.83       2.00       SpeedControl        11.85      1.21       

72         8.80       CACC3           TypeCACC        1to2_0       5.97       5.50       3.00       SpeedControl        -1.00      -1.00      
72         8.80       CACC1           TypeCACC@CACC1  1to2_1       43.56      5.00       0.00       Undefined           -1.00      -1.00      
72         8.80       CACC2           TypeCACC@CACC2  1to2_1       27.21      10.03      2.00       SpeedControl        11.35      1.13       

73         8.90       CACC3           TypeCACC        1to2_0       6.55       5.80       3.00       SpeedControl        -1.00      -1.00      
73         8.90       CACC1           TypeCACC@CACC1  1to2_1       44.06      5.00       0.00       Undefined           -1.00      -1.00      
73         8.90       CACC2           TypeCACC@CACC2  1to2_1       28.23      10.23      2.00       SpeedControl        10.83      1.06       

74         9.00       CACC3           TypeCACC        1to2_0       7.16       6.10       3.00       SpeedControl        -1.00      -1.00      
74         9.00       CACC4           TypeCACC        1to2_0       0.00       0.00       0.00       GapControl          2.16       -1.00      
74         9.00       CACC1           TypeCACC@CACC1  1to2_1       44.56      5.00       0.00       Undefined           -1.00      -1.00      
74         9.00       CACC2           TypeCACC@CACC2  1to2_1       29.21      9.73       -5.00      EmergencyBrake      10.35      1.06       

75         9.10       CACC3           TypeCACC        1to2_0       7.80       6.40       3.00       SpeedControl        -1.00      -1.00      
75         9.10       CACC4           TypeCACC        1to2_0       0.02       0.20       2.00       GapControl          2.78       13.90      
75         9.10       CACC1           TypeCACC@CACC1  1to2_1       45.06      5.00       0.00       Undefined           -1.00      -1.00      
75         9.10       CACC2           TypeCACC@CACC2  1to2_1       30.16      9.54       -1.86      GapControl          9.90       1.04       

76         9.20       CACC3           TypeCACC        1to2_0       8.47       6.70       3.00       SpeedControl        -1.00      -1.00      
76         9.20       CACC4           TypeCACC        1to2_0       0.06       0.40       2.00       GapControl          3.41       8.53       
76         9.20       CACC1           TypeCACC@CACC1  1to2_1       45.56      5.00       0.00       Undefined           -1.00      -1.00      
76         9.20       CACC2           TypeCACC@CACC2  1to2_1       31.12      9.56       0.19       GapControl          9.44       0.99       

77         9.30       CACC3           TypeCACC        1to2_0       9.17       7.00       3.00       SpeedControl        -1.00      -1.00      
77         9.30       CACC4           TypeCACC        1to2_0       0.12       0.60       2.00       SpeedControl        4.05       6.75       
77         9.30       CACC1           TypeCACC@CACC1  1to2_1       46.06      5.00       0.00       Undefined           -1.00      -1.00      
77         9.30       CACC2           TypeCACC@CACC2  1to2_1       32.02      9.06       -5.00      EmergencyBrake      9.04       1.00       

78         9.40       CACC3           TypeCACC        1to2_0       9.90       7.30       3.00       SpeedControl        -1.00      -1.00      
78         9.40       CACC4           TypeCACC        1to2_0       0.20       0.80       2.00       SpeedControl        4.70       5.88       
78         9.40       CACC1           TypeCACC@CACC1  1to2_1       46.56      5.00       0.00       Undefined           -1.00      -1.00      
78         9.40       CACC2           TypeCACC@CACC2  1to2_1       32.90      8.79       -2.66      GapControl          8.66       0.98       

79         9.50       CACC3           TypeCACC        1to2_0       10.66      7.60       3.00       SpeedControl        -1.00      -1.00      
79         9.50       CACC4           TypeCACC        1to2_0       0.30       1.00       2.00       SpeedControl        5.36       5.36       
79         9.50       CACC1           TypeCACC@CACC1  1to2_1       47.06      5.00       0.00       Undefined           -1.00      -1.00      
79         9.50       CACC2           TypeCACC@CACC2  1to2_1       33.77      8.69       -1.07      GapControl          8.29       0.95       

80         9.60       CACC3           TypeCACC        1to2_0       11.45      7.90       3.00       SpeedControl        -1.00      -1.00      
80         9.60       CACC4           TypeCACC        1to2_0       0.42       1.20       2.00       SpeedControl        6.03       5.03       
80         9.60       CACC1           TypeCACC@CACC1  1to2_1       47.56      5.00       0.00       Undefined           -1.00      -1.00      
80         9.60       CACC2           TypeCACC@CACC2  1to2_1       34.64      8.67       -0.18      GapControl          7.92       0.91       

81         9.70       CACC3           TypeCACC        1to2_0       12.27      8.20       3.00       SpeedControl        -1.00      -1.00      
81         9.70       CACC4           TypeCACC        1to2_0       0.56       1.40       2.00       SpeedControl        6.71       4.79       
81         9.70       CACC1           TypeCACC@CACC1  1to2_1       48.06      5.00       0.00       Undefined           -1.00      -1.00      
81         9.70       CACC2           TypeCACC@CACC2  1to2_1       35.51      8.68       0.14       GapControl          7.55       0.87       

82         9.80       CACC3           TypeCACC        1to2_0       13.12      8.50       3.00       SpeedControl        -1.00      -1.00      
82         9.80       CACC4           TypeCACC        1to2_0       0.72       1.60       2.00       SpeedControl        7.40       4.63       
82         9.80       CACC1           TypeCACC@CACC1  1to2_1       48.56      5.00       0.00       Undefined           -1.00      -1.00      
82         9.80       CACC2           TypeCACC@CACC2  1to2_1       36.32      8.18       -5.00      EmergencyBrake      7.24       0.88       

