Total Number of received beacons from other vehicle

vehicle   beacons   
V[0]       75606      
V[1]       73596      
V[2]       74069      
V[3]       75151      
V[4]       76084      
V[5]       76470      
V[6]       76942      
V[7]       77884      
V[8]       77190      
V[9]       77401      
V[10]      77280      
V[11]      77129      
V[12]      76765      
V[13]      76465      
V[14]      75925      
V[15]      75483      
V[16]      75266      
V[17]      74681      
V[18]      74503      
V[19]      73814      
V[20]      73125      
V[21]      72515      
V[22]      71983      
V[23]      70575      
V[24]      69482      
V[25]      67858      
V[26]      66150      
V[27]      64821      
V[28]      63280      
V[29]      62014      
