timeStep    from platoon        to platoon          comment             
24.01      CACC7                CACC6                Merge_Request       
24.02      CACC7                -                    Merge_Reject        

24.03      CACC8                CACC7                Merge_Request       
24.03      CACC8                -                    Merge_Start         

26.02      CACC9                CACC8                Merge_Request       
26.03      CACC9                -                    Merge_Reject        
26.12      CACC9                CACC8                Merge_Request       
26.13      CACC9                -                    Merge_Reject        
26.22      CACC9                CACC8                Merge_Request       
26.23      CACC9                -                    Merge_Reject        
26.32      CACC9                CACC8                Merge_Request       
26.33      CACC9                -                    Merge_Reject        
26.42      CACC9                CACC8                Merge_Request       
26.43      CACC9                -                    Merge_Reject        
26.52      CACC9                CACC8                Merge_Request       
26.53      CACC9                -                    Merge_Reject        

26.53      CACC8                -                    Merge_End           

26.61      CACC7                CACC6                Merge_Request       
26.62      CACC7                -                    Merge_Reject        

26.62      CACC9                CACC7                Merge_Request       
26.63      CACC9                -                    Merge_Start         

27.75      CACC6                -                    Merge_End           

28.54      CACC10               CACC9                Merge_Request       
28.54      CACC10               -                    Merge_Reject        
28.64      CACC10               CACC9                Merge_Request       
28.64      CACC10               -                    Merge_Reject        
28.74      CACC10               CACC9                Merge_Request       
28.74      CACC10               -                    Merge_Reject        
28.84      CACC10               CACC9                Merge_Request       
28.84      CACC10               -                    Merge_Reject        
28.94      CACC10               CACC9                Merge_Request       
28.94      CACC10               -                    Merge_Reject        
29.04      CACC10               CACC9                Merge_Request       
29.04      CACC10               -                    Merge_Reject        
29.14      CACC10               CACC9                Merge_Request       
29.14      CACC10               -                    Merge_Reject        
29.24      CACC10               CACC9                Merge_Request       
29.24      CACC10               -                    Merge_Reject        
29.34      CACC10               CACC9                Merge_Request       
29.34      CACC10               -                    Merge_Reject        
29.44      CACC10               CACC9                Merge_Request       
29.44      CACC10               -                    Merge_Reject        
29.54      CACC10               CACC9                Merge_Request       
29.54      CACC10               -                    Merge_Reject        
29.64      CACC10               CACC9                Merge_Request       
29.64      CACC10               -                    Merge_Reject        
29.74      CACC10               CACC9                Merge_Request       
29.74      CACC10               -                    Merge_Reject        
29.84      CACC10               CACC9                Merge_Request       
29.84      CACC10               -                    Merge_Reject        
29.94      CACC10               CACC9                Merge_Request       
29.94      CACC10               -                    Merge_Reject        
30.04      CACC10               CACC9                Merge_Request       
30.04      CACC10               -                    Merge_Reject        
30.14      CACC10               CACC9                Merge_Request       
30.14      CACC10               -                    Merge_Reject        
30.24      CACC10               CACC9                Merge_Request       
30.24      CACC10               -                    Merge_Reject        
30.34      CACC10               CACC9                Merge_Request       
30.34      CACC10               -                    Merge_Reject        

30.43      CACC9                -                    Merge_End           

30.44      CACC10               CACC7                Merge_Request       
30.44      CACC10               -                    Merge_Start         
31.84      CACC10               -                    Merge_End           

31.91      CACC7                CACC1                Merge_Request       
31.92      CACC7                -                    Merge_Start         
39.12      CACC7                -                    Merge_End           
73.00      CACC7                CACC1                FLeave_Request      
73.01      CACC7                -                    MFLeave_Start       

73.01      CACC8                -                    Split_Start         
89.13      CACC8                -                    Split_End           
89.13      CACC8                CACC1                Merge_Request       

89.14      CACC7                -                    Split_Start         

90.13      CACC8                CACC1                Merge_Request       
90.14      CACC8                -                    Merge_Reject        
90.23      CACC8                CACC7                Merge_Request       
91.23      CACC8                CACC7                Merge_Request       
92.23      CACC8                CACC7                Merge_Request       
93.23      CACC8                CACC7                Merge_Request       
94.23      CACC8                CACC7                Merge_Request       
95.23      CACC8                CACC7                Merge_Request       
96.33      CACC8                CACC7                Merge_Request       
97.33      CACC8                CACC7                Merge_Request       
98.33      CACC8                CACC7                Merge_Request       
99.43      CACC8                CACC7                Merge_Request       
100.43     CACC8                CACC7                Merge_Request       
101.43     CACC8                CACC7                Merge_Request       
102.43     CACC8                CACC7                Merge_Request       
103.43     CACC8                CACC7                Merge_Request       
104.43     CACC8                CACC7                Merge_Request       

105.25     CACC7                -                    Split_End           
105.31     CACC7                -                    FLeave_End          

105.51     CACC8                CACC1                Merge_Request       
105.52     CACC8                -                    Merge_Start         
106.52     CACC8                -                    Merge_End           

118.00     CACC5                CACC1                FLeave_Request      
118.01     CACC5                -                    MFLeave_Start       

118.01     CACC6                -                    Split_Start         
134.13     CACC6                -                    Split_End           

134.14     CACC5                -                    Split_Start         

134.14     CACC6                CACC5                Merge_Request       
135.14     CACC6                CACC5                Merge_Request       
136.14     CACC6                CACC5                Merge_Request       
137.14     CACC6                CACC5                Merge_Request       
138.14     CACC6                CACC5                Merge_Request       
139.14     CACC6                CACC5                Merge_Request       
140.14     CACC6                CACC5                Merge_Request       
141.14     CACC6                CACC5                Merge_Request       
142.14     CACC6                CACC5                Merge_Request       
143.14     CACC6                CACC5                Merge_Request       
144.14     CACC6                CACC5                Merge_Request       
145.14     CACC6                CACC5                Merge_Request       
146.24     CACC6                CACC5                Merge_Request       
147.24     CACC6                CACC5                Merge_Request       
148.24     CACC6                CACC5                Merge_Request       
149.24     CACC6                CACC5                Merge_Request       

150.05     CACC5                -                    Split_End           
150.11     CACC5                -                    FLeave_End          

150.24     CACC6                CACC5                Merge_Request       
151.24     CACC6                CACC5                Merge_Request       
152.32     CACC6                CACC1                Merge_Request       
152.32     CACC6                -                    Merge_Start         
